[100, 'G', 0.0, 1, 1, [1]]
[100, 'D', 0.0, 1, 1, [1]]
[101, 'G', 1.0, 1, 1, [0, 1]]
[101, 'D', 1.0, 1, 1, [0, 1]]
[102, 'G', 1.0, 1, 1, [2]]
[102, 'D', 1.0, 1, 1, [2]]
[103, 'G', 1.0, 1, 1, [0, 2]]
[103, 'D', 1.0, 1, 1, [0, 2]]
[104, 'G', 0.0, 1, 1, [3]]
[104, 'D', 0.0, 1, 1, [3]]
[105, 'G', 1.0, 1, 1, [0, 3]]
[105, 'D', 0.0, 1, 1, [0, 3]]
[106, 'G', 1.0, 1, 1, [4]]
[106, 'D', 1.0, 1, 1, [4]]
[107, 'G', 1.0, 1, 1, [0, 4]]
[107, 'D', 1.0, 1, 1, [0, 4]]
[108, 'G', 1.0, 1, 1, [5]]
[108, 'D', 1.0, 1, 1, [5]]
[109, 'G', 1.0, 1, 1, [0, 5]]
[109, 'D', 1.0, 1, 1, [0, 5]]
[110, 'G', 0.0, 1, 1, [6]]
[110, 'D', 0.0, 1, 1, [6]]
[111, 'G', 0.0, 1, 1, [0, 6]]
[111, 'D', 0.0, 1, 1, [0, 6]]
[112, 'G', 0.0, 1, 1, [7]]
[112, 'D', 0.0, 1, 1, [7]]
[113, 'G', 1.0, 1, 1, [0, 7]]
[113, 'D', 0.0, 1, 1, [0, 7]]
[114, 'G', 1.0, 1, 1, [8]]
[114, 'D', 1.0, 1, 1, [8]]
[115, 'G', 1.0, 1, 1, [0, 8]]
[115, 'D', 1.0, 1, 1, [0, 8]]
[120, 'G', 0.0, 1, 1, [11]]
[120, 'D', 0.0, 1, 1, [11]]
[121, 'G', 0.0, 1, 1, [0, 11]]
[121, 'D', 0.0, 1, 1, [0, 11]]
[125, 'G', 1.0, 1, 1, [0, 13]]
[125, 'D', 0.0, 1, 1, [0, 13]]
[126, 'G', 0.9333333333333333, 1, 1, [14]]
[126, 'D', 0.85, 1, 1, [14]]
[127, 'G', 1.0, 1, 1, [0, 14]]
[127, 'D', 0.9833333333333333, 1, 1, [0, 14]]
[128, 'G', 0.0, 1, 1, [15]]
[128, 'D', 0.0, 1, 1, [15]]
[129, 'G', 0.0, 1, 1, [0, 15]]
[129, 'D', 1.0, 1, 1, [0, 15]]
[130, 'G', 0.0, 2, 1, [1]]
[130, 'D', 0.0, 2, 1, [1]]
[131, 'G', 0.5, 2, 1, [0, 1]]
[131, 'D', 0.5, 2, 1, [0, 1]]
[132, 'G', 0.5, 2, 1, [2]]
[132, 'D', 0.5, 2, 1, [2]]
[133, 'G', 0.6666666666666666, 2, 1, [0, 2]]
[133, 'D', 0.6666666666666666, 2, 1, [0, 2]]
[134, 'G', 0.0, 2, 1, [3]]
[134, 'D', 0.0, 2, 1, [3]]
