[500, 2, 6, [0]]
[501, 2, 6, [0, 0]]
[502, 2, 6, [1]]
[503, 2, 6, [0, 1]]
[504, 2, 6, [2]]
[505, 2, 6, [0, 2]]
[506, 2, 6, [3]]
[507, 2, 6, [0, 3]]
[508, 2, 6, [4]]
[509, 2, 6, [0, 4]]
[510, 2, 6, [5]]
[511, 2, 6, [0, 5]]
[512, 2, 6, [6]]
[513, 2, 6, [0, 6]]
[514, 2, 6, [7]]
[515, 2, 6, [0, 7]]
[516, 2, 6, [8]]
[517, 2, 6, [0, 8]]
[518, 2, 6, [9]]
[519, 2, 6, [0, 9]]
[520, 2, 6, [10]]
[521, 2, 6, [0, 10]]
[522, 2, 6, [11]]
[523, 2, 6, [0, 11]]
[524, 2, 6, [12]]
[525, 2, 6, [0, 12]]
[526, 2, 6, [13]]
[527, 2, 6, [0, 13]]
[528, 2, 6, [14]]
[529, 2, 6, [0, 14]]
[530, 2, 6, [15]]
[531, 2, 6, [0, 15]]
[532, 2, 8, [0]]
[533, 2, 8, [0, 0]]
[534, 2, 8, [1]]
[535, 2, 8, [0, 1]]
[536, 2, 8, [2]]
[537, 2, 8, [0, 2]]
[538, 2, 8, [3]]
[539, 2, 8, [0, 3]]
[540, 2, 8, [4]]
[541, 2, 8, [0, 4]]
[542, 2, 8, [5]]
[543, 2, 8, [0, 5]]
[544, 2, 8, [6]]
[545, 2, 8, [0, 6]]
[546, 2, 8, [7]]
[547, 2, 8, [0, 7]]
[548, 2, 8, [8]]
[549, 2, 8, [0, 8]]
[550, 2, 8, [9]]
[551, 2, 8, [0, 9]]
[552, 2, 8, [10]]
[553, 2, 8, [0, 10]]
[554, 2, 8, [11]]
[555, 2, 8, [0, 11]]
[556, 2, 8, [12]]
[557, 2, 8, [0, 12]]
[558, 2, 8, [13]]
[559, 2, 8, [0, 13]]
[560, 2, 8, [14]]
[561, 2, 8, [0, 14]]
[562, 2, 8, [15]]
[563, 2, 8, [0, 15]]
[564, 3, 9, [0]]
[565, 3, 9, [0, 0]]
[566, 3, 9, [1]]
[567, 3, 9, [0, 1]]
[568, 3, 9, [2]]
[569, 3, 9, [0, 2]]
[570, 3, 9, [3]]
[571, 3, 9, [0, 3]]
[572, 3, 9, [4]]
[573, 3, 9, [0, 4]]
[574, 3, 9, [5]]
[575, 3, 9, [0, 5]]
[576, 3, 9, [6]]
[577, 3, 9, [0, 6]]
[578, 3, 9, [7]]
[579, 3, 9, [0, 7]]
[580, 3, 9, [8]]
[581, 3, 9, [0, 8]]
[582, 3, 9, [9]]
[583, 3, 9, [0, 9]]
[584, 3, 9, [10]]
[585, 3, 9, [0, 10]]
[586, 3, 9, [11]]
[587, 3, 9, [0, 11]]
[588, 3, 9, [12]]
[589, 3, 9, [0, 12]]
[590, 3, 9, [13]]
[591, 3, 9, [0, 13]]
[592, 3, 9, [14]]
[593, 3, 9, [0, 14]]
[594, 3, 9, [15]]
[595, 3, 9, [0, 15]]
[596, 3, 12, [0]]
[597, 3, 12, [0, 0]]
[598, 3, 12, [1]]
[599, 3, 12, [0, 1]]
[600, 3, 12, [2]]
[601, 3, 12, [0, 2]]
[602, 3, 12, [3]]
[603, 3, 12, [0, 3]]
[604, 3, 12, [4]]
[605, 3, 12, [0, 4]]
[606, 3, 12, [5]]
[607, 3, 12, [0, 5]]
[608, 3, 12, [6]]
[609, 3, 12, [0, 6]]
[610, 3, 12, [7]]
[611, 3, 12, [0, 7]]
[612, 3, 12, [8]]
[613, 3, 12, [0, 8]]
[614, 3, 12, [9]]
[615, 3, 12, [0, 9]]
[616, 3, 12, [10]]
[617, 3, 12, [0, 10]]
[618, 3, 12, [11]]
[619, 3, 12, [0, 11]]
[620, 3, 12, [12]]
[621, 3, 12, [0, 12]]
[622, 3, 12, [13]]
[623, 3, 12, [0, 13]]
[624, 3, 12, [14]]
[625, 3, 12, [0, 14]]
[626, 3, 12, [15]]
[627, 3, 12, [0, 15]]
